Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,06-01-1977,26,588,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,MANDREKAR DEU GUNAJI,3978,INC,MORAJKAR RAMDAS SHANKAR,1990,8,0,0.0,7454,7849,15303,0,0,0,7454,7849,15303,12,0,0.0,4075,3987,8062,0,0,0,4075,3987,8062,12,0,0.0,8062,7908,154,0,0,10,0,0.0
2,06-01-1977,20,763,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,KHALAP RAMAKANT DATTARAM,5394,INC,PARAB GOPAL ATMARAM,3375,8,0,0.0,7547,7720,15267,0,0,0,7547,7720,15267,12,0,0.0,4639,5074,9713,0,0,0,4639,5074,9713,12,0,0.0,9713,9523,190,0,0,10,0,0.0
3,06-01-1977,23,778,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,CHODANKAR GHANDRAKANT UTTAM,6088,JNP,ACHARCKAR PUNAJI PANDURANG,3211,8,0,0.0,8480,9423,17903,0,0,0,8480,9423,17903,12,0,0.0,5755,5972,11727,0,0,0,5755,5972,11727,12,0,0.0,11727,11554,173,0,0,10,0,0.0
4,06-01-1977,22,859,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,FERNANDES RUAL ILARIO,4621,JNP,FERNANDES MARK A. ANSELMO,4335,8,0,0.0,8590,10326,18916,0,0,0,8590,10326,18916,12,0,0.0,5682,6216,11898,0,0,0,5682,6216,11898,12,0,0.0,11898,11758,140,0,0,10,0,0.0
5,06-01-1977,22,859,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,SHIRSAT SURENDRA VASANT,5229,JNP,BHANDARE GANGADHAR YESHWANT,3563,8,0,0.0,9378,9528,18906,0,0,0,9378,9528,18906,12,0,0.0,6236,5964,12200,0,0,0,6236,5964,12200,12,0,0.0,12200,12087,113,0,0,10,0,0.0
6,06-01-1977,24,739,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NARVENKAR DAYANAND GANESH,4557,JNP,RINBEEIO MALVINA LEONER PINTO RANGEL,4094,8,0,0.0,8061,9698,17759,0,0,0,8061,9698,17759,12,0,0.0,5162,5872,11034,0,0,0,5162,5872,11034,12,0,0.0,11034,10877,157,0,0,10,0,0.0
7,06-01-1977,20,845,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,KAKODKAR SHASHIKALA GURUDUTT,6866,INC,NAIK VINAYAK VASUDEV,3746,8,0,0.0,8599,8307,16906,0,0,0,8599,8307,16906,12,0,0.0,6635,5716,12351,0,0,0,6635,5716,12351,12,0,0.0,12351,12161,190,0,0,10,0,0.0
8,06-01-1977,21,799,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,SHENVI SURLIKAR LAXMIKANT SANTARAM,5108,MAG,SINAI USGAONKER ATCHUT KASHINATH,4752,8,0,0.0,8695,8096,16791,0,0,0,8695,8096,16791,12,0,0.0,6344,5145,11489,0,0,0,6344,5145,11489,12,0,0.0,11489,11275,214,0,0,10,0,0.0
9,06-01-1977,28,535,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,RANE PRATAPSINGH RAOJI,4084,MAG,RANE JAYSINGRAO VENKATRAO,2973,8,0,0.0,7560,7438,14998,0,0,0,7560,7438,14998,12,0,0.0,5565,4548,10113,0,0,0,5565,4548,10113,12,0,0.0,10113,9788,325,0,0,10,0,0.0
10,06-01-1977,18,870,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,JNP,BIR MADHV RAMKRISHNA,3555,MAG,SARDESSAI KASHINATH VENKATESH,2549,8,0,0.0,8198,7468,15666,0,0,0,8198,7468,15666,12,0,0.0,4986,3763,8749,0,0,0,4986,3763,8749,12,0,0.0,8749,8681,68,0,0,10,0,0.0
11,06-01-1977,17,847,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,JNP,SEQUEIRA JACK ERASMO,4462,MAG,FERNANDES MANUEL FRANCISCO XAVIER DIOGO,2656,8,0,0.0,7362,7052,14414,0,0,0,7362,7052,14414,12,0,0.0,5115,4671,9786,0,0,0,5115,4671,9786,12,0,0.0,9786,9677,109,0,0,10,0,0.0
12,06-01-1977,21,802,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,GHODANKAR VINAYAK DHARMA,5145,JNP,DESAI SHRIKANT GOVIND,4177,8,0,0.0,8132,8718,16850,0,0,0,8132,8718,16850,12,0,0.0,5342,5362,10704,0,0,0,5342,5362,10704,12,0,0.0,10704,10578,126,0,0,10,0,0.0
