Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_VOTES NOT RETREIVED_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
16,30-05-2002,01-06-2002,01-06-2002,21,883,True,4,2,6,1,0,1,0,0,0,3,2,5,1,2,3,20,0,0.0,INC,PRABHU ZANTYE HARISH NARAYAN,6430.0,BJP,PRAKASH J. FADTE,4474.0,8,0,0.0,9356,9196,18552,0,0,0,9356,9196,18552,12,0,0.0,7109,6128,13237,84,26,110,7193,6154,13347,12,0,0.0,13347,13335,12,0,2,10,0,0.0
17,30-05-2002,01-06-2002,01-06-2002,28,797,True,8,0,8,2,0,2,2,0,2,4,0,4,2,0,2,20,0,0.0,BJP,AMONKAR SURESH KUSO,8519.0,INC,GAWAS GURUDAS PRABHAKAR,6965.0,8,0,0.0,11459,10860,22319,2,0,2,11461,10860,22321,12,0,0.0,9059,7928,16987,90,32,122,9149,7960,17109,12,0,0.0,17109,17093,16,0,0,10,0,0.0
18,30-05-2002,01-06-2002,01-06-2002,29,732,True,5,0,5,1,0,1,1,0,1,3,0,3,1,0,1,20,0,0.0,INC,RANE PRATAPSING RAOJI,9126.0,BJP,SANTOBA KRISHNARAO DESSAI,6557.0,8,0,0.0,10822,10390,21212,5,0,5,10827,10390,21217,12,0,0.0,8865,7341,16206,118,54,172,8983,7395,16378,12,0,0.0,16378,16360,18,0,1,10,0,0.0
19,30-05-2002,01-06-2002,01-06-2002,21,766,True,4,0,4,1,0,1,0,0,0,3,0,3,1,0,1,20,0,0.0,BJP,HALDANKAR NARAHARI TUKARAM,6137.0,INC,DESSAI VENKATESH ATMARAM,5785.0,8,0,0.0,8093,7983,16076,3,0,3,8096,7983,16079,12,0,0.0,6452,5823,12275,99,35,134,6551,5858,12409,12,0,0.0,12409,12388,21,0,0,10,0,0.0
20,30-05-2002,01-06-2002,01-06-2002,36,879,True,12,0,12,1,0,1,3,0,3,8,0,8,6,0,6,20,0,0.0,INC,NAIK RAVI SITARAM,10745.0,BJP,NAIK SHRIPAD YASSO,9425.0,8,0,0.0,16552,15099,31651,0,0,0,16552,15099,31651,12,0,0.0,11344,9866,21210,163,55,218,11507,9921,21428,12,0,0.0,21428,21368,60,0,1,10,0,0.0
21,30-05-2002,01-06-2002,01-06-2002,36,717,True,7,0,7,3,0,3,0,0,0,4,0,4,1,0,1,20,0,0.0,BJP,SATARKAR VISHWAS RAMNATH,8071.0,INC,AMONKAR SHRIKANT SAGUN,6409.0,8,0,0.0,13320,12478,25798,3,1,4,13323,12479,25802,12,0,0.0,10406,8908,19314,72,30,102,10478,8938,19416,12,0,0.0,19416,19392,24,0,2,10,0,0.0
22,30-05-2002,01-06-2002,01-06-2002,31,771,True,7,0,7,3,0,3,0,0,0,4,0,4,2,0,2,20,0,0.0,MAG,DHAVALIKAR RAMKRISHNA ALIAS SUDIN MADHAV,11587.0,BJP,NAIK SANTOSH MAHANANDU,3737.0,12,3,25.0,12100,11788,23888,3,0,3,12103,11788,23891,12,0,0.0,9485,8519,18004,128,60,188,9613,8579,18192,12,0,0.0,18192,18131,61,0,0,10,0,0.0
23,30-05-2002,01-06-2002,01-06-2002,32,749,True,4,1,5,1,1,2,0,0,0,3,0,3,1,0,1,20,0,0.0,INC,SUBHASH ANKUSH SHIRODKAR,9738.0,BJP,PRABHU VISHWANATH TUKARAM,8603.0,8,0,0.0,11852,12105,23957,1,0,1,11853,12105,23958,12,0,0.0,9511,9146,18657,80,44,124,9591,9190,18781,12,0,0.0,18781,18755,26,0,0,10,0,0.0
24,30-05-2002,01-06-2002,01-06-2002,33,833,True,10,4,14,3,2,5,1,1,2,6,1,7,3,1,4,20,0,0.0,INC,VAZ GIOVANNI KARL,4635.0,BJP,SHAIKH HASSAN HAROON,4192.0,8,0,0.0,14474,13020,27494,9,2,11,14483,13022,27505,12,0,0.0,8226,6696,14922,70,7,77,8296,6703,14999,12,0,0.0,14999,14996,3,0,4,10,0,0.0
25,30-05-2002,01-06-2002,01-06-2002,32,875,True,8,1,9,2,0,2,1,0,1,5,1,6,2,1,3,20,0,0.0,BJP,ARLEKAR RAJENDRA,5605.0,NCP,D'SOUZA JOSE PHILIPS DOMINGO,4509.0,8,0,0.0,14674,13030,27704,165,138,303,14839,13168,28007,12,0,0.0,8388,7286,15674,71,5,76,8459,7291,15750,12,0,0.0,15750,15746,4,0,8,10,0,0.0
