Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,K . B . LAXMAN,4499,IND,B . DESPRABHU,2181,8,0,0.0,11647,0,11647,0,0,0,11647,0,11647,12,3,25.0,8069,0,8069,0,0,0,8069,0,8069,12,0,0.0,8069,7480,589,0,0,10,0,0.0
2,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,A . J . DSOUZA,6907,UGS,K . M . VINAYAK,1540,8,0,0.0,14942,0,14942,0,0,0,14942,0,14942,12,3,25.0,10287,0,10287,0,0,0,10287,0,10287,12,0,0.0,10287,9640,647,0,0,10,0,0.0
3,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,A . P . PANDURANG,5175,UGS,D . ZEFERINO,4556,8,0,0.0,14012,0,14012,0,0,0,14012,0,14012,12,3,25.0,10565,0,10565,0,0,0,10565,0,10565,12,0,0.0,10565,10279,286,0,0,10,0,0.0
4,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,S . VALENTE,6329,MAG,M . R . DHARMA,4633,8,0,0.0,15716,0,15716,0,0,0,15716,0,15716,12,3,25.0,11886,0,11886,0,0,0,11886,0,11886,12,0,0.0,11886,11657,229,0,0,10,0,0.0
5,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,L . S . O . FERNANDO,6084,MAG,M . N . PANDHARINATH,3969,8,0,0.0,14324,0,14324,0,0,0,14324,0,14324,12,3,25.0,10774,0,10774,0,0,0,10774,0,10774,12,0,0.0,10774,10527,247,0,0,10,0,0.0
6,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,M . G . GOVIND,5476,UGS,K . T . MANGESH,4040,8,0,0.0,14427,0,14427,0,0,0,14427,0,14427,12,3,25.0,10753,0,10753,0,0,0,10753,0,10753,12,0,0.0,10753,10416,337,0,0,10,0,0.0
7,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,J . RANE,4761,UGS,N . NARAYANANANT,1794,8,0,0.0,12164,0,12164,0,0,0,12164,0,12164,12,3,25.0,8267,0,8267,0,0,0,8267,0,8267,12,0,0.0,8267,7772,495,0,0,10,0,0.0
8,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,C . D . KESHAV,5565,IND,S . S . SAKHARAM,1149,8,0,0.0,11807,0,11807,0,0,0,11807,0,11807,12,3,25.0,8811,0,8811,0,0,0,8811,0,8811,12,0,0.0,8811,8311,500,0,0,10,0,0.0
9,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,A . K . S . USGAONKAR,5671,IND,S . U . P . KRISHNA,1961,8,0,0.0,13196,0,13196,0,0,0,13196,0,13196,12,3,25.0,9040,0,9040,0,0,0,9040,0,9040,12,0,0.0,9040,8712,328,0,0,10,0,0.0
10,21-02-1967,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,K . G . APPA,2962,IND,D . B . HIROJIRAO,1068,8,0,0.0,12819,0,12819,0,0,0,12819,0,12819,12,3,25.0,8129,0,8129,0,0,0,8129,0,8129,12,0,0.0,8129,7397,732,0,0,10,0,0.0
