Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,01-03-1980,28,550,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,MANDREKAR DEU GUNAJI,4701,INC(I),MORAJKAR RAMDAS SHANKAR,2290,8,0,0.0,7459,7968,15427,0,0,0,7459,7968,15427,12,0,0.0,4764,4640,9404,0,0,0,4764,4640,9404,12,0,0.0,9404,9049,355,0,0,10,0,0.0
2,01-03-1980,25,628,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,KHALAP RAMAKANT DATTARAM,5703,INC(I),PARAB GOPAL ATMARAM,5301,8,0,0.0,7825,7887,15712,0,0,0,7825,7887,15712,12,0,0.0,5848,5744,11592,0,0,0,5848,5744,11592,12,0,0.0,11592,11242,350,0,0,10,0,0.0
3,01-03-1980,25,744,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,CHODANKAR CHANDRAKANT UTTAM,5841,MAG,SALGAUKAR LADU BUTHI,4084,8,0,0.0,8912,9691,18603,0,0,0,8912,9691,18603,12,0,0.0,6462,6649,13111,0,0,0,6462,6649,13111,12,0,0.0,13111,12603,508,0,0,10,0,0.0
4,01-03-1980,27,743,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),DE SOUZA WILFRED TITO FERMINO,6920,MAG,D' SOUZA FRANCISCO AGUSTA,5506,8,0,0.0,9260,10823,20083,0,0,0,9260,10823,20083,12,0,0.0,6576,7614,14190,0,0,0,6576,7614,14190,12,0,0.0,14190,13566,624,0,0,10,0,0.0
5,01-03-1980,27,711,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),NEVAGI SHAMSUNDER JAIRAM,6640,MAG,SIRSAT SURENDRA VASANT,5559,8,0,0.0,9447,9763,19210,0,0,0,9447,9763,19210,12,0,0.0,6960,7096,14056,0,0,0,6960,7096,14056,12,0,0.0,14056,13495,561,0,0,10,0,0.0
6,01-03-1980,26,761,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),NARVEKAR DAYANAND GANESH,8219,MAG,CHODANKAR MADAN VARNAN,4414,8,0,0.0,9141,10647,19788,0,0,0,9141,10647,19788,12,0,0.0,6664,7288,13952,0,0,0,6664,7288,13952,12,0,0.0,13952,13380,572,0,0,10,0,0.0
7,01-03-1980,26,685,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,PRABHU ZANTYE HARISH NARAYAN,8354,MAG,KAKODKAR SHASHIKALA GURUDUTTA,5981,8,0,0.0,9097,8716,17813,0,0,0,9097,8716,17813,12,0,0.0,7772,6978,14750,0,0,0,7772,6978,14750,12,0,0.0,14750,14335,415,0,0,10,0,0.0
8,01-03-1980,28,641,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NAIK VISHNU RAMA,5827,INC(U),SURYARAO SARDESSAI RAMESH NARAYAN,4932,8,0,0.0,9383,8584,17967,0,0,0,9383,8584,17967,12,0,0.0,7539,6473,14012,0,0,0,7539,6473,14012,12,0,0.0,14012,13530,482,0,0,10,0,0.0
9,01-03-1980,32,509,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),RANE PRATAPSING RAVAJI,5283,MAG,PRABHU TENDULKAR SADANAND SONU,3211,8,0,0.0,8160,8145,16305,0,0,0,8160,8145,16305,12,0,0.0,6643,5789,12432,0,0,0,6643,5789,12432,12,0,0.0,12432,11815,617,0,0,10,0,0.0
10,01-03-1980,22,751,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,NAIK VISHNU ANANT,3967,MAG,NAIK BABAN ANANT,3138,8,0,0.0,8759,7772,16531,0,0,0,8759,7772,16531,12,0,0.0,6045,5128,11173,0,0,0,6045,5128,11173,12,0,0.0,11173,10850,323,0,0,10,0,0.0
11,01-03-1980,20,787,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),FERNANDES MICHAEL ANTONIC CARMINHO,4574,MAG,BRANCO FRANCISCO AFONSO,3110,8,0,0.0,7921,7836,15757,0,0,0,7921,7836,15757,12,0,0.0,5797,5449,11246,0,0,0,5797,5449,11246,12,0,0.0,11246,10863,383,0,0,10,0,0.0
12,01-03-1980,27,636,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,CHODANKAR VINAYAK DHARMA,4876,IND,MAYENKAR MUKUND NARAYAN,3143,8,0,0.0,8231,8960,17191,0,0,0,8231,8960,17191,12,0,0.0,5913,6257,12170,0,0,0,5913,6257,12170,12,0,0.0,12170,11790,380,0,0,10,0,0.0
13,01-03-1980,19,744,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),PEREIRA TEOTONIO FRANCISCO PAULO,4200,MAG,CUNCOLENKAR SRIPAD LAXMAN,3429,8,0,0.0,7082,7054,14136,0,0,0,7082,7054,14136,12,0,0.0,5081,4837,9918,0,0,0,5081,4837,9918,12,0,0.0,9918,9463,455,0,0,10,0,0.0
14,01-03-1980,24,678,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,GAUNKAR BABUSO SAULO,6377,IND,PANJIKAR SASHI GOVIND,3155,8,0,0.0,8281,7991,16272,0,0,0,8281,7991,16272,12,0,0.0,6467,5666,12133,0,0,0,6467,5666,12133,12,0,0.0,12133,11645,488,0,0,10,0,0.0
15,01-03-1980,27,729,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),AGUIAR JOILDO SOUZA,6700,MAG,NAIK RAVI SITARAM,6009,8,0,0.0,10931,8764,19695,0,0,0,10931,8764,19695,12,0,0.0,8043,6324,14367,0,0,0,8043,6324,14367,12,0,0.0,14367,14025,342,0,0,10,0,0.0
16,01-03-1980,27,651,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),PRABHU RAMCHANDRA TUKARAM,6315,MAG,NAIK JAYKRISHNA PUTU,5891,8,0,0.0,8899,8690,17589,0,0,0,8899,8690,17589,12,0,0.0,6999,6451,13450,0,0,0,6999,6451,13450,12,0,0.0,13450,13194,256,0,0,10,0,0.0
