Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,27-12-1984,29,582,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,BANDEKAR SHAMBHU BHAVTI,4648,MAG,PEDNEKAR MAHOHAR,4632,8,0,0.0,8461,8417,16878,0,0,0,8461,8417,16878,12,0,0.0,6078,6013,12091,0,0,0,6078,6013,12091,12,0,0.0,12091,11563,528,0,0,10,0,0.0
2,27-12-1984,25,672,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,KHALAP RAMAKANT DATTARAM,6652,INC,PARAB GOPAL ATMARAM,4667,8,0,0.0,8597,8208,16805,0,0,0,8597,8208,16805,12,0,0.0,6725,6616,13341,0,0,0,6725,6616,13341,12,0,0.0,13341,12989,352,0,0,10,0,0.0
3,27-12-1984,25,814,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NAIK ASHOK TUKARAM,5967,INC,CHODANKAR CHANDRAKANT UTTAM,5201,8,0,0.0,9878,10476,20354,0,0,0,9878,10476,20354,12,0,0.0,7506,7670,15176,0,0,0,7506,7670,15176,12,0,0.0,15176,14742,434,0,0,10,0,0.0
4,27-12-1984,25,864,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,MALIK SHRIKANT KESHAV,5995,IND,D' SOUZA WILFRED A.,5765,8,0,0.0,10043,11562,21605,0,0,0,10043,11562,21605,12,0,0.0,7196,8548,15744,0,0,0,7196,8548,15744,12,0,0.0,15744,15424,320,0,0,10,0,0.0
5,27-12-1984,27,733,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,DIUCAR CHANDRESHKAR SIHIVRAM,4649,INC,DHURI ULHAS BHIKU,4257,8,0,0.0,9631,10160,19791,0,0,0,9631,10160,19791,12,0,0.0,7095,7364,14459,0,0,0,7095,7364,14459,12,0,0.0,14459,14019,440,0,0,10,0,0.0
6,27-12-1984,26,858,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,NARVEKAR DAYANAND GANESH,7858,IND,ALVARES GABRIEL FELIX,4402,8,0,0.0,10458,11855,22313,0,0,0,10458,11855,22313,12,0,0.0,7801,8175,15976,0,0,0,7801,8175,15976,12,0,0.0,15976,15640,336,0,0,10,0,0.0
7,27-12-1984,26,792,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,PRABHU ZANTYE HARISH NARAYAN,8607,MAG,NAIK VINAYAK VASUDEO,4782,8,0,0.0,10619,9973,20592,0,0,0,10619,9973,20592,12,0,0.0,7901,7800,15701,0,0,0,7901,7800,15701,12,0,0.0,15701,15033,668,0,0,10,0,0.0
8,27-12-1984,28,730,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,VERENKAR CHANDRAKANT VISHWANATH,5897,MAG,PARAB DASHARATH KASHINATH,4184,8,0,0.0,10615,9836,20451,0,0,0,10615,9836,20451,12,0,0.0,7929,7188,15117,0,0,0,7929,7188,15117,12,0,0.0,15117,14532,585,0,0,10,0,0.0
9,27-12-1984,32,605,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,RANE SARDESAR PRATAPSING RAOJI,7769,MAG,SADEKAR VASUDEO JANARDHAN,4639,8,0,0.0,9939,9422,19361,0,0,0,9939,9422,19361,12,0,0.0,7770,7685,15455,0,0,0,7770,7685,15455,12,0,0.0,15455,14725,730,0,0,10,0,0.0
10,27-12-1984,22,748,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,GONSALVES JOAO BAPTISTA FLORINO,4844,MAG,NAIK BABAN ANANT,1867,8,0,0.0,8722,7735,16457,0,0,0,8722,7735,16457,12,0,0.0,5504,5294,10798,0,0,0,5504,5294,10798,12,0,0.0,10798,10565,233,0,0,10,0,0.0
