Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_BALLOT PAPER SET APART_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
11,False,False,20-05-1991,187,822,True,0,0,0,0,0,0,0,0,0,11,1,12,9,1,10,20,9,45.0,BJP,PURAN CHANDRA,28204.0,INC,GOPAL RAM DAS,21004.0,8,0,0.0,72613,81158,153771,0,0,0,72613,81158,153771,12,0,0.0,37228,24424,61652,0,0,0,37228,24424,61652,12,0,0.0,61652,58845,2802,5,0,0,12,0,0.0
12,False,False,20-05-1991,236,789,True,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,20,9,45.0,BJP,BACHI SINGH RAWAT,27815.0,INC,POORAN SINGH,23674.0,8,0,0.0,87582,98696,186278,0,0,0,87582,98696,186278,12,0,0.0,36665,28739,65404,0,0,0,36665,28739,65404,12,0,0.0,65404,62978,2426,0,0,0,12,0,0.0
13,False,False,20-05-1991,207,831,True,0,0,0,0,0,0,0,0,0,16,0,16,14,0,14,20,9,45.0,BJP,BANSHI DHAR,32215.0,INC,SHER SINGH NAULIYA,19146.0,8,0,0.0,90264,81854,172118,0,0,0,90264,81854,172118,12,0,0.0,47729,39154,86883,0,0,0,47729,39154,86883,12,0,0.0,86883,82338,4545,0,0,0,12,0,0.0
14,False,False,20-05-1991,228,865,True,0,0,0,0,0,0,0,0,0,11,0,11,9,0,9,20,9,45.0,BJP,LAKHAN SINGH,30966.0,INC,YASHPAL,29211.0,8,0,0.0,105396,91871,197267,0,0,0,105396,91871,197267,12,0,0.0,50034,40912,90946,0,0,0,50034,40912,90946,12,0,0.0,90946,86364,4582,0,0,0,12,0,0.0
15,False,False,20-05-1991,256,903,True,0,0,0,0,0,0,0,0,0,22,1,23,20,1,21,20,9,45.0,INC,NARAYAN DATT TIWARI,46614.0,BJP,TILAK RAJ,43410.0,8,0,0.0,123049,108147,231196,0,0,0,123049,108147,231196,12,0,0.0,65441,53392,118833,0,0,0,65441,53392,118833,12,0,0.0,118833,113615,5218,0,0,0,12,0,0.0
16,False,False,20-05-1991,216,918,True,0,0,0,0,0,0,0,0,0,30,0,30,27,0,27,20,9,45.0,BJP,RAJEEV KUMAR,34734.0,JD,K.C. SINGH (BABA),33431.0,8,0,0.0,111568,86781,198349,0,0,0,111568,86781,198349,12,0,0.0,68739,38228,106967,0,0,0,68739,38228,106967,12,0,0.0,106967,102563,4404,0,0,0,12,0,0.0
17,False,False,20-05-1991,186,1013,True,0,0,0,0,0,0,0,0,0,14,0,14,12,0,12,20,9,45.0,BJP,MAHABEER SINGH,51412.0,JD,ANWAR,31674.0,8,0,0.0,113078,75374,188452,0,0,0,113078,75374,188452,12,0,0.0,74619,43375,117994,0,0,0,74619,43375,117994,12,0,0.0,117994,115036,2958,0,0,0,12,0,0.0
18,False,False,20-05-1991,199,948,True,0,0,0,0,0,0,0,0,0,24,1,25,22,1,23,20,9,45.0,BJP,RAJENDRA SINGH,62048.0,JD,BUNIYAD ALI,35397.0,8,0,0.0,113216,75491,188707,0,0,0,113216,75491,188707,12,0,0.0,74787,45783,120570,0,0,0,74787,45783,120570,12,0,0.0,120570,117068,3502,0,0,0,12,0,0.0
19,False,False,20-05-1991,181,1029,True,0,0,0,0,0,0,0,0,0,25,0,25,23,0,23,20,9,45.0,BJP,INDER DEV,45467.0,BSP,SULMAN,25231.0,8,0,0.0,111809,74519,186328,0,0,0,111809,74519,186328,12,0,0.0,64215,42786,107001,0,0,0,64215,42786,107001,12,0,0.0,107001,102371,4630,0,0,0,12,0,0.0
20,False,False,20-05-1991,160,1084,True,0,0,0,0,0,0,0,0,0,20,1,21,17,1,18,20,9,45.0,BJP,OM PRAKASH,41744.0,BSP,SARJEET SINGH,19255.0,8,0,0.0,104145,69320,173465,0,0,0,104145,69320,173465,12,0,0.0,54065,36040,90105,0,0,0,54065,36040,90105,12,0,0.0,90105,87572,2533,0,0,0,12,0,0.0
21,False,False,20-05-1991,182,990,True,0,0,0,0,0,0,0,0,0,20,0,20,17,0,17,20,9,45.0,BJP,RAJENDRA,34730.0,CPI,TILAK RAM,18901.0,8,0,0.0,108135,72027,180162,0,0,0,108135,72027,180162,12,0,0.0,56172,30574,86746,0,0,0,56172,30574,86746,12,0,0.0,86746,83568,3178,0,0,0,12,0,0.0
22,False,False,20-05-1991,202,954,True,0,0,0,0,0,0,0,0,0,20,0,20,18,0,18,20,9,45.0,BJP,MAHENDRA PAL SINGH,67009.0,BSP,GAZFAR (RAJA),51349.0,8,0,0.0,115663,76955,192618,0,0,0,115663,76955,192618,12,0,0.0,77392,51073,128465,0,0,0,77392,51073,128465,12,0,0.0,128465,125668,2797,0,0,0,12,0,0.0
23,False,False,20-05-1991,205,1001,True,0,0,0,0,0,0,0,0,0,18,0,18,16,0,16,20,9,45.0,BJP,AMAR SINGH,58275.0,BSP,AMURUDDIN,41436.0,8,0,0.0,123093,82107,205200,0,0,0,123093,82107,205200,12,0,0.0,80016,47335,127351,0,0,0,80016,47335,127351,12,0,0.0,127351,123746,3605,0,0,0,12,0,0.0
