Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_BALLOT PAPER SET APART_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
47,False,False,20-05-1991,155,1039,True,0,0,0,0,0,0,0,0,0,9,1,10,7,0,7,20,9,45.0,BJP,AVNISH KUMAR SINGH,30084.0,INC,SANTOSH KUMARI PATHAK,23939.0,8,0,0.0,88079,72937,161016,0,0,0,88079,72937,161016,12,0,0.0,50313,37942,88255,0,0,0,50313,37942,88255,12,0,0.0,88255,84873,3382,0,0,0,12,0,0.0
48,False,False,20-05-1991,4254,39,True,0,0,0,0,0,0,0,0,0,19,0,19,16,0,16,20,9,45.0,BJP,SHYAM BEHARI SINGH,26647.0,JD,MAHI PAL SINGH,19687.0,8,0,0.0,91728,75022,166750,0,0,0,91728,75022,166750,12,0,0.0,52992,28896,81888,0,0,0,52992,28896,81888,12,0,0.0,81888,77634,4254,0,0,0,12,0,0.0
49,False,False,20-05-1991,171,943,True,0,0,0,0,0,0,0,0,0,19,1,20,16,1,17,20,9,45.0,INC,RAMESHWAR NATH CHOBEY,26709.0,JD,KUNWAR SARVARAJ SINGH,23974.0,8,0,0.0,88738,72520,161258,0,0,0,88738,72520,161258,12,0,0.0,53579,30359,83938,0,0,0,53579,30359,83938,12,0,0.0,83938,78802,5127,9,0,0,12,0,0.0
50,False,False,20-05-1991,167,971,True,0,0,0,0,0,0,0,0,0,11,3,14,9,3,12,20,9,45.0,BJP,NAND RAM,30651.0,JP,SIYA RAM SAGAR,27038.0,8,0,0.0,89225,72946,162171,0,0,0,89225,72946,162171,12,0,0.0,56365,26246,82611,0,0,0,56365,26246,82611,12,0,0.0,82611,79136,3475,0,0,0,12,0,0.0
51,False,False,20-05-1991,195,987,True,0,0,0,0,0,0,0,0,0,28,1,29,25,1,26,20,9,45.0,INC,ISLAM SABIR,36703.0,BJP,RADHEY SHYAM,33826.0,8,0,0.0,105894,86556,192450,0,0,0,105894,86556,192450,12,0,0.0,68176,36983,105159,0,0,0,68176,36983,105159,12,0,0.0,105159,101322,3837,0,0,0,12,0,0.0
52,False,False,20-05-1991,205,936,True,0,0,0,0,0,0,0,0,0,39,1,40,37,1,38,20,9,45.0,BJP,DINESH JAUHARI,57358.0,INC,JASVANT PARSAD ALIAS BABBU,33406.0,8,0,0.0,105589,86383,191972,0,0,0,105589,86383,191972,12,0,0.0,54359,42246,96605,0,0,0,54359,42246,96605,12,0,0.0,96605,94997,1608,0,0,0,12,0,0.0
53,False,False,20-05-1991,163,981,True,0,0,0,0,0,0,0,0,0,43,0,43,41,0,41,20,9,45.0,BJP,BHAGWAT SARAN GANWAR,46745.0,INC,DIG VIJAY SINGH GANGWAR,31293.0,8,0,0.0,87969,71957,159926,0,0,0,87969,71957,159926,12,0,0.0,60248,31077,91325,0,0,0,60248,31077,91325,12,0,0.0,91325,90204,1121,0,0,0,12,0,0.0
54,False,False,20-05-1991,181,906,True,0,0,0,0,0,0,0,0,0,14,0,14,12,0,12,20,9,45.0,BJP,KUNWAR SUBHASH PATEL,37228.0,JP,MOHAMMED FAROOQ,28345.0,8,0,0.0,90260,73811,164071,0,0,0,90260,73811,164071,12,0,0.0,61640,42297,103937,0,0,0,61640,42297,103937,12,0,0.0,103937,98093,4872,0,972,0,12,0,0.0
55,False,False,20-05-1991,169,937,True,0,0,0,0,0,0,0,0,0,19,1,20,18,1,19,20,9,45.0,BJP,KUNWAR SURENDER PRATAP SINGH,33925.0,INC,BHUPENDER NATH SHARMA,14522.0,8,0,0.0,87064,71215,158279,0,0,0,87064,71215,158279,12,0,0.0,62414,30501,92915,0,0,0,62414,30501,92915,12,0,0.0,92915,88709,4206,0,0,0,12,0,0.0
56,False,False,20-05-1991,196,876,True,0,0,0,0,0,0,0,0,0,21,0,21,19,0,19,20,9,45.0,BJP,HARISH CHANDRA,51247.0,JP,MANZOOR AHMAD,21179.0,8,0,0.0,97707,73918,171625,0,0,0,97707,73918,171625,12,0,0.0,57892,47367,105259,0,0,0,57892,47367,105259,12,0,0.0,105259,101493,3766,0,0,0,12,0,0.0
57,False,False,20-05-1991,194,912,True,0,0,0,0,0,0,0,0,0,26,1,27,24,1,25,20,9,45.0,BJP,B. K. GUPTA,47617.0,INC,RIAZ AHMAD,27639.0,8,0,0.0,97343,79642,176985,0,0,0,97343,79642,176985,12,0,0.0,56780,45548,102328,0,0,0,56780,45548,102328,12,0,0.0,102328,98586,3742,0,0,0,12,0,0.0
58,False,False,20-05-1991,171,968,True,0,0,0,0,0,0,0,0,0,20,3,23,17,3,20,20,9,45.0,BJP,KISHAN LAL,31143.0,JP,RAM ASREY LAL,14227.0,8,0,0.0,91026,74474,165500,0,0,0,91026,74474,165500,12,0,0.0,46340,37915,84255,0,0,0,46340,37915,84255,12,0,0.0,84255,80146,4109,0,0,0,12,0,0.0
59,False,False,20-05-1991,203,864,True,0,0,0,0,0,0,0,0,0,22,1,23,20,1,21,20,9,45.0,BJP,RAM SARAN VERMA,32478.0,IND,TEJ BAHADUR,19291.0,8,0,0.0,96442,78901,175343,0,0,0,96442,78901,175343,12,0,0.0,57831,47318,105149,0,0,0,57831,47318,105149,12,0,0.0,105149,99478,5671,0,0,0,12,0,0.0
60,False,False,20-05-1991,227,879,True,0,0,0,0,0,0,0,0,0,35,1,36,33,1,34,20,9,45.0,BJP,PARMOD KUMAR,26471.0,JD,VINOD KUMAR,25849.0,8,0,0.0,109805,89839,199644,0,0,0,109805,89839,199644,12,0,0.0,65550,43701,109251,0,0,0,65550,43701,109251,12,0,0.0,109251,102629,6622,0,0,0,12,0,0.0
61,False,False,20-05-1991,221,916,True,0,0,0,0,0,0,0,0,0,21,0,21,18,0,18,20,9,45.0,BJP,NET RAM,28624.0,INC,CHET RAM,20575.0,8,0,0.0,111863,90563,202426,0,0,0,111863,90563,202426,12,0,0.0,53193,47173,100366,0,0,0,53193,47173,100366,12,0,0.0,100366,95186,5180,0,0,0,12,0,0.0
62,False,False,20-05-1991,189,917,True,0,0,0,0,0,0,0,0,0,16,0,16,13,0,13,20,9,45.0,BJP,KOBID KUMAR SINGH,33000.0,INC,AHIBRAN,23177.0,8,0,0.0,93106,80256,173362,0,0,0,93106,80256,173362,12,0,0.0,53909,44084,97993,0,0,0,53909,44084,97993,12,0,0.0,97993,94184,3809,0,0,0,12,0,0.0
63,False,False,20-05-1991,189,987,True,0,0,0,0,0,0,0,0,0,17,0,17,14,0,14,20,9,45.0,JD,SATYA PAL SINGH YADAV,31818.0,INC,SURENDRA VIKARAM,20331.0,8,0,0.0,99082,87489,186571,0,0,0,99082,87489,186571,12,0,0.0,65547,32992,98539,0,0,0,65547,32992,98539,12,0,0.0,98539,94596,3909,34,0,0,12,0,0.0
64,False,False,20-05-1991,206,948,True,0,0,0,0,0,0,0,0,0,13,0,13,10,0,10,20,9,45.0,JP,RAM MURTI SINGH,26665.0,INC,UDAI VIR SINGH S/O SUNDER SINGH,26228.0,8,0,0.0,103296,91972,195268,0,0,0,103296,91972,195268,12,0,0.0,56331,46173,102504,0,0,0,56331,46173,102504,12,0,0.0,102504,96929,5575,0,0,0,12,0,0.0
65,False,False,20-05-1991,187,954,True,0,0,0,0,0,0,0,0,0,18,0,18,15,0,15,20,9,45.0,JD,DEVENDRA PAL SINGH,32709.0,INC,RAM AVTAR S/O HALDHAR PRASAD,25189.0,8,0,0.0,104271,74131,178402,0,0,0,104271,74131,178402,12,0,0.0,54519,44964,99483,0,0,0,54519,44964,99483,12,0,0.0,99483,94324,5159,0,0,0,12,0,0.0
66,False,False,20-05-1991,224,956,True,0,0,0,0,0,0,0,0,0,30,0,30,27,0,27,20,9,45.0,BJP,SURESH KUMAR KHANNA,50579.0,JD,MOHD. IQBAL,22342.0,8,0,0.0,119355,94783,214138,0,0,0,119355,94783,214138,12,0,0.0,65651,43752,109403,0,0,0,65651,43752,109403,12,0,0.0,109403,106381,3022,0,0,0,12,0,0.0
67,False,False,20-05-1991,195,960,True,0,0,0,0,0,0,0,0,0,12,1,13,10,1,11,20,9,45.0,INC,BANSHI DHAR RAJ,32005.0,BJP,CHHOTEY LAL S/O PARMAI,27283.0,8,0,0.0,112323,74868,187191,0,0,0,112323,74868,187191,12,0,0.0,55770,37178,92948,0,0,0,55770,37178,92948,12,0,0.0,92948,88851,4097,0,0,0,12,0,0.0
68,False,False,20-05-1991,194,914,True,0,0,0,0,0,0,0,0,0,18,0,18,15,0,15,20,9,45.0,BJP,RAM KUMAR,23318.0,INC,BAL BIR SINGH,18635.0,8,0,0.0,106376,70911,177287,0,0,0,106376,70911,177287,12,0,0.0,50670,33781,84451,0,0,0,50670,33781,84451,12,0,0.0,84451,79972,4479,0,0,0,12,0,0.0
69,False,False,20-05-1991,185,912,True,0,0,0,0,0,0,0,0,0,11,0,11,8,0,8,20,9,45.0,JD,RAM SARAN,19477.0,BJP,BHAGWAN DIN,17709.0,8,0,0.0,101254,67506,168760,0,0,0,101254,67506,168760,12,0,0.0,45083,30054,75137,0,0,0,45083,30054,75137,12,0,0.0,75137,70118,5019,0,0,0,12,0,0.0
70,False,False,20-05-1991,214,934,True,0,0,0,0,0,0,0,0,0,19,0,19,17,0,17,20,9,45.0,BJP,RAM GOPAL,37771.0,INC,ZAFAR ALI NAKAVI,31080.0,8,0,0.0,119954,79938,199892,0,0,0,119954,79938,199892,12,0,0.0,57717,38476,96193,0,0,0,57717,38476,96193,12,0,0.0,96193,89574,6619,0,0,0,12,0,0.0
71,False,False,20-05-1991,193,884,True,0,0,0,0,0,0,0,0,0,12,0,12,9,0,9,20,9,45.0,INC,TAJ NARAIN TRIVEDI,25858.0,JP,DHIRENDRA BAHADUR SINGH,19709.0,8,0,0.0,102357,68336,170693,0,0,0,102357,68336,170693,12,0,0.0,52561,35036,87597,0,0,0,52561,35036,87597,12,0,0.0,87597,83316,4281,0,0,0,12,0,0.0
72,False,False,20-05-1991,218,985,True,0,0,0,0,0,0,0,0,0,21,0,21,18,0,18,20,9,45.0,IND,NIRVENDRA KUMAR,27704.0,BJP,RAM ASREY,26221.0,8,0,0.0,128848,85947,214795,0,0,0,128848,85947,214795,12,0,0.0,66623,42744,109367,0,0,0,66623,42744,109367,12,0,0.0,109367,99341,10026,0,0,0,12,0,0.0
73,False,False,20-05-1991,212,919,True,0,0,0,0,0,0,0,0,0,8,0,8,4,0,4,20,9,45.0,BJP,BALA PRASAD,26478.0,IND,JAGAN NATH PRASAD,22862.0,8,0,0.0,116817,77927,194744,0,0,0,116817,77927,194744,12,0,0.0,57922,36944,94866,0,0,0,57922,36944,94866,12,0,0.0,94866,88746,6120,0,0,0,12,0,0.0
74,False,False,20-05-1991,202,912,True,0,0,0,0,0,0,0,0,0,19,0,19,16,0,16,20,9,45.0,BJP,KISHOREI LAL,22558.0,INC,SIPAHI LAL SHUKLA,17381.0,8,0,0.0,101279,82866,184145,0,0,0,101279,82866,184145,12,0,0.0,68449,17113,85562,0,0,0,68449,17113,85562,12,0,0.0,85562,81969,3593,0,0,0,12,0,0.0
75,False,False,20-05-1991,189,949,True,0,0,0,0,0,0,0,0,0,23,1,24,22,0,22,20,9,45.0,INC,PADMA SETH,25443.0,BJP,RAM SINGH CHAUHAN,22973.0,8,0,0.0,98701,80754,179455,0,0,0,98701,80754,179455,12,0,0.0,59029,31051,90080,0,0,0,59029,31051,90080,12,0,0.0,90080,86603,3477,0,0,0,12,0,0.0
76,False,False,20-05-1991,207,928,True,0,0,0,0,0,0,0,0,0,16,0,16,13,0,13,20,9,45.0,BJP,NARAND SINGH,38319.0,INC,AMMAR RAJVI,34760.0,8,0,0.0,118130,73872,192002,0,0,0,118130,73872,192002,12,0,0.0,70820,47050,117870,0,0,0,70820,47050,117870,12,0,0.0,117870,112534,5336,0,0,0,12,0,0.0
77,False,False,20-05-1991,201,948,True,0,0,0,0,0,0,0,0,0,12,2,14,9,2,11,20,9,45.0,JP,SHYAM LAL RAWAT,27208.0,BJP,RAM KARAN,23189.0,8,0,0.0,104751,85703,190454,0,0,0,104751,85703,190454,12,0,0.0,49792,47723,97515,0,0,0,49792,47723,97515,12,0,0.0,97515,92925,4590,0,0,0,12,0,0.0
78,False,False,20-05-1991,198,907,True,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,20,9,45.0,BJP,ANIL KUMAR,33726.0,JP,BUNIYAD BUSAIN ANSARI,26671.0,8,0,0.0,98736,80786,179522,0,0,0,98736,80786,179522,12,0,0.0,65105,29090,94195,0,0,0,65105,29090,94195,12,0,0.0,94195,90255,3940,0,0,0,12,0,0.0
79,False,False,20-05-1991,188,954,True,0,0,0,0,0,0,0,0,0,23,1,24,20,1,21,20,9,45.0,BJP,RAJENDRA KUMAR GUPTA,31394.0,JP,OM PRAKASH GUPTA,19067.0,8,0,0.0,98656,80706,179362,0,0,0,98656,80706,179362,12,0,0.0,57948,33941,91889,0,0,0,57948,33941,91889,12,0,0.0,91889,85070,6754,65,0,0,12,0,0.0
80,False,False,20-05-1991,180,933,True,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,20,9,45.0,BJP,DAULAT RAM,24843.0,INC,PARAGI LAL,23097.0,8,0,0.0,92373,75573,167946,0,0,0,92373,75573,167946,12,0,0.0,45918,37569,83487,0,0,0,45918,37569,83487,12,0,0.0,83487,79317,4170,0,0,0,12,0,0.0
81,False,False,20-05-1991,196,923,True,0,0,0,0,0,0,0,0,0,20,0,20,17,0,17,20,9,45.0,INC,RAM RATAN SINGH,27346.0,JP,ANOOP KUMAR GUPTA,21357.0,8,0,0.0,94102,86859,180961,0,0,0,94102,86859,180961,12,0,0.0,49509,45779,95288,0,0,0,49509,45779,95288,12,0,0.0,95288,90021,5267,0,0,0,12,0,0.0
82,False,False,20-05-1991,172,941,True,0,0,0,0,0,0,0,0,0,12,0,12,10,0,10,20,9,45.0,INC,RAM KRISHAN,24406.0,BJP,BABA LAL DAS,19485.0,8,0,0.0,89003,72806,161809,0,0,0,89003,72806,161809,12,0,0.0,56191,25961,82152,0,0,0,56191,25961,82152,12,0,0.0,82152,78669,3483,0,0,0,12,0,0.0
83,False,False,20-05-1991,166,967,True,0,0,0,0,0,0,0,0,0,8,1,9,6,1,7,20,9,45.0,INC,RAM PAL,30446.0,BJP,BUDDHA LAL,29118.0,8,0,0.0,87298,73234,160532,0,0,0,87298,73234,160532,12,0,0.0,45704,38933,84637,0,0,0,45704,38933,84637,12,0,0.0,84637,80993,3644,0,0,0,12,0,0.0
84,False,False,20-05-1991,183,944,True,0,0,0,0,0,0,0,0,0,18,2,20,17,1,18,20,9,45.0,BJP,MAHAVIR SINGH,29175.0,INC,KUDESHIYA BEGUM,25438.0,8,0,0.0,93953,78850,172803,0,0,0,93953,78850,172803,12,0,0.0,46169,39333,85502,0,0,0,46169,39333,85502,12,0,0.0,85502,82133,3369,0,0,0,12,0,0.0
85,False,False,20-05-1991,173,948,True,0,0,0,0,0,0,0,0,0,14,1,15,11,1,12,20,9,45.0,JP,PARMAI LAL,20565.0,BJP,RAM SEWAK,19950.0,8,0,0.0,90159,73917,164076,0,0,0,90159,73917,164076,12,0,0.0,49865,19988,69853,0,0,0,49865,19988,69853,12,0,0.0,69853,67312,2541,0,0,0,12,0,0.0
86,False,False,20-05-1991,184,970,True,0,0,0,0,0,0,0,0,0,23,1,24,21,1,22,20,9,45.0,INC,NARESH AGARWAL,30370.0,BJP,MAHESH NATH MAHENDRA,29353.0,8,0,0.0,96959,81488,178447,0,0,0,96959,81488,178447,12,0,0.0,60179,30360,90539,0,0,0,60179,30360,90539,12,0,0.0,90539,87114,3425,0,0,0,12,0,0.0
87,False,False,20-05-1991,175,949,True,0,0,0,0,0,0,0,0,0,13,0,13,10,0,10,20,9,45.0,BJP,DAYA RAM VERMA,23759.0,BSP,CHHOTE LAL S/O NARAIN,17979.0,8,0,0.0,91123,74996,166119,0,0,0,91123,74996,166119,12,0,0.0,54578,23293,77871,0,0,0,54578,23293,77871,12,0,0.0,77871,73906,3965,0,0,0,12,0,0.0
88,False,False,20-05-1991,186,926,True,0,0,0,0,0,0,0,0,0,14,1,15,11,1,12,20,9,45.0,INC,KHALID GAURI,26644.0,BJP,RAM BALI MISHRA,18077.0,8,0,0.0,94315,77943,172258,0,0,0,94315,77943,172258,12,0,0.0,59561,31859,91420,0,0,0,59561,31859,91420,12,0,0.0,91420,86534,4886,0,0,0,12,0,0.0
89,False,False,20-05-1991,196,945,True,0,0,0,0,0,0,0,0,0,16,0,16,12,0,12,20,9,45.0,IND,BABU KHAN,22894.0,BJP,GANGA SINGH CHAUHAN,19446.0,8,0,0.0,102493,82797,185290,0,0,0,102493,82797,185290,12,0,0.0,62892,28452,91344,0,0,0,62892,28452,91344,12,0,0.0,91344,86016,5328,0,0,0,12,0,0.0
90,False,False,20-05-1991,211,937,True,0,0,0,0,0,0,0,0,0,15,1,16,12,1,13,20,9,45.0,BJP,GANGA BHAKAT SINGH,22842.0,JP,VISHRAM SINGH,21567.0,8,0,0.0,110340,87459,197799,0,0,0,110340,87459,197799,12,0,0.0,57891,46487,104378,0,0,0,57891,46487,104378,12,0,0.0,104378,99611,4767,0,0,0,12,0,0.0
91,False,False,20-05-1991,215,879,True,0,0,0,0,0,0,0,0,0,11,4,15,9,4,13,20,9,45.0,JD,RAM ASRAY VERMA,38672.0,INC,DHARAM MISRA,20355.0,8,0,0.0,105758,83322,189080,0,0,0,105758,83322,189080,12,0,0.0,55372,43719,99091,0,0,0,55372,43719,99091,12,0,0.0,99091,95188,3903,0,0,0,12,0,0.0
92,False,False,20-05-1991,194,939,True,0,0,0,0,0,0,0,0,0,16,0,16,14,0,14,20,9,45.0,INC,GOPI NATH DIXIT,27672.0,JP,ASHOK KUMAR SINGH,24575.0,8,0,0.0,100189,81986,182175,0,0,0,100189,81986,182175,12,0,0.0,48116,42669,90785,0,0,0,48116,42669,90785,12,0,0.0,90785,87418,3367,0,0,0,12,0,0.0
93,False,False,20-05-1991,180,997,True,0,0,0,0,0,0,0,0,0,10,0,10,7,0,7,20,9,45.0,JD,SUNDER LAL,21577.0,BJP,BABU LAL,20861.0,8,0,0.0,98725,80749,179474,0,0,0,98725,80749,179474,12,0,0.0,46664,38180,84844,0,0,0,46664,38180,84844,12,0,0.0,84844,80388,4456,0,0,0,12,0,0.0
94,False,False,20-05-1991,247,831,True,0,0,0,0,0,0,0,0,0,16,1,17,14,1,15,20,9,45.0,BJP,SHIV PAL SINGH,33733.0,JD,MANOHAR LAL,27351.0,8,0,0.0,112933,92399,205332,0,0,0,112933,92399,205332,12,0,0.0,55887,42159,98046,0,0,0,55887,42159,98046,12,0,0.0,98046,93459,4587,0,0,0,12,0,0.0
95,False,False,20-05-1991,185,955,True,0,0,0,0,0,0,0,0,0,10,0,10,8,0,8,20,9,45.0,INC,GANGA BUX SINGH,25996.0,BJP,SUNDER LAL LODHI,22620.0,8,0,0.0,97258,79445,176703,0,0,0,97258,79445,176703,12,0,0.0,49406,42086,91492,0,0,0,49406,42086,91492,12,0,0.0,91492,87238,4254,0,0,0,12,0,0.0
96,False,False,20-05-1991,222,886,True,0,0,0,0,0,0,0,0,0,12,1,13,9,1,10,20,9,45.0,INC,BHAGWATI SINGH VISHARAD,23183.0,BJP,DEWAKI NANDAN,21420.0,8,0,0.0,108330,88450,196780,0,0,0,108330,88450,196780,12,0,0.0,48748,39884,88632,0,0,0,48748,39884,88632,12,0,0.0,88632,84441,4191,0,0,0,12,0,0.0
97,False,False,20-05-1991,186,980,True,0,0,0,0,0,0,0,0,0,13,2,15,9,2,11,20,9,45.0,JP,HRIDAI NARAIN,21513.0,BJP,BHAGOLEY,20374.0,8,0,0.0,100220,81998,182218,0,0,0,100220,81998,182218,12,0,0.0,53102,40058,93160,0,0,0,53102,40058,93160,12,0,0.0,93160,88062,5098,0,0,0,12,0,0.0
98,False,False,20-05-1991,183,948,True,0,0,0,0,0,0,0,0,0,10,0,10,8,0,8,20,9,45.0,BJP,MAST RAM,27048.0,BSP,RAM KHELAWAN,14446.0,8,0,0.0,95228,78272,173500,0,0,0,95228,78272,173500,12,0,0.0,48796,35334,84130,0,0,0,48796,35334,84130,12,0,0.0,84130,79252,4878,0,0,0,12,0,0.0
99,False,False,20-05-1991,173,1000,True,0,0,0,0,0,0,0,0,0,10,1,11,8,1,9,20,9,45.0,JP,ASHOK KUMAR,22442.0,BJP,SUKH LAL,18977.0,8,0,0.0,97880,75108,172988,0,0,0,97880,75108,172988,12,0,0.0,40866,26858,67724,0,0,0,40866,26858,67724,12,0,0.0,67724,64557,3167,0,0,0,12,0,0.0
100,False,False,20-05-1991,235,949,True,0,0,0,0,0,0,0,0,0,34,1,35,32,1,33,20,9,45.0,BJP,GOMTI PRASAD,27162.0,JP,CHANDRA SHEKHAR TRIVEDI,18371.0,8,0,0.0,129374,93561,222935,0,0,0,129374,93561,222935,12,0,0.0,56572,39550,96122,0,0,0,56572,39550,96122,12,0,0.0,96122,91277,4845,0,0,0,12,0,0.0
101,False,False,20-05-1991,209,1100,True,0,0,0,0,0,0,0,0,0,26,1,27,25,0,25,20,9,45.0,BJP,BHAGWATI PRASAD SHUKLA,36605.0,INC,SWAROOP KUMARI BAXI,12193.0,8,0,0.0,129393,100575,229968,0,0,0,129393,100575,229968,12,0,0.0,41598,26230,67828,0,0,0,41598,26230,67828,12,0,0.0,67828,65941,1887,0,0,0,12,0,0.0
102,False,False,20-05-1991,264,1001,True,0,0,0,0,0,0,0,0,0,31,3,34,29,3,32,20,9,45.0,BJP,RAM KUMAR SHUKLA,41537.0,JP,ARUN SHANKAR,26714.0,8,0,0.0,153299,110990,264289,0,0,0,153299,110990,264289,12,0,0.0,53271,34849,88120,0,0,0,53271,34849,88120,12,0,0.0,88120,85682,2438,0,0,0,12,0,0.0
103,False,False,20-05-1991,243,1040,True,0,0,0,0,0,0,0,0,0,27,2,29,25,2,27,20,9,45.0,BJP,BASANT LAL GUPTA,43744.0,JP,MUSHEER AHMED LARI,18644.0,8,0,0.0,141868,110859,252727,0,0,0,141868,110859,252727,12,0,0.0,49023,31027,80050,0,0,0,49023,31027,80050,12,0,0.0,80050,77911,2139,0,0,0,12,0,0.0
104,False,False,20-05-1991,209,1045,True,0,0,0,0,0,0,0,0,0,20,6,26,19,5,24,20,9,45.0,BJP,SATISH BHATIYA,32159.0,INC,PREMWARI TEWARI,15803.0,8,0,0.0,123803,94565,218368,0,0,0,123803,94565,218368,12,0,0.0,36237,25830,62067,0,0,0,36237,25830,62067,12,0,0.0,62067,60468,1599,0,0,0,12,0,0.0
105,False,False,20-05-1991,183,1041,True,0,0,0,0,0,0,0,0,0,20,0,20,18,0,18,20,9,45.0,INC,VIJAY KUMAR TRIPATHI,21687.0,JP,SHYAM KISHORE YADAVA,19093.0,8,0,0.0,105646,84831,190477,0,0,0,105646,84831,190477,12,0,0.0,52306,34702,87008,0,0,0,52306,34702,87008,12,0,0.0,87008,81329,5679,0,0,0,12,0,0.0
106,False,False,20-05-1991,176,984,True,0,0,0,0,0,0,0,0,0,14,0,14,11,0,11,20,9,45.0,JP,SANT BUX RAWAT,16000.0,BJP,MOHAN LAL,12580.0,8,0,0.0,96768,76476,173244,0,0,0,96768,76476,173244,12,0,0.0,40798,28033,68831,0,0,0,40798,28033,68831,12,0,0.0,68831,64083,4748,0,0,0,12,0,0.0
107,False,False,20-05-1991,196,915,True,0,0,0,0,0,0,0,0,0,14,1,15,11,1,12,20,9,45.0,INC,SHIV DARSHAN,21085.0,BJP,RAJA RAM TYAGI,20666.0,8,0,0.0,94121,85279,179400,0,0,0,94121,85279,179400,12,0,0.0,51117,30211,81328,0,0,0,51117,30211,81328,12,0,0.0,81328,77181,4147,0,0,0,12,0,0.0
108,False,False,20-05-1991,204,932,True,0,0,0,0,0,0,0,0,0,15,0,15,12,0,12,20,9,45.0,INC,HAZI MOHD. WASIM,28598.0,BJP,RAM GOPAL TRIPATHI,26781.0,8,0,0.0,98543,91539,190082,0,0,0,98543,91539,190082,12,0,0.0,75285,12445,87730,0,0,0,75285,12445,87730,12,0,0.0,87730,82095,5635,0,0,0,12,0,0.0
109,False,False,20-05-1991,230,918,True,0,0,0,0,0,0,0,0,0,31,0,31,28,0,28,20,9,45.0,JD,ASHOK KUMAR SINGH,34231.0,JP,RAM NARESH YADAV,24582.0,8,0,0.0,111063,100036,211099,0,0,0,111063,100036,211099,12,0,0.0,68784,41276,110060,0,0,0,68784,41276,110060,12,0,0.0,110060,104377,5683,0,0,0,12,0,0.0
110,False,False,20-05-1991,203,923,True,0,0,0,0,0,0,0,0,0,14,1,15,11,1,12,20,9,45.0,INC,KAMAL NAYAN VERMA,21413.0,BJP,SATYA PRAKASH PANDE,18661.0,8,0,0.0,97782,89545,187327,0,0,0,97782,89545,187327,12,0,0.0,54680,34852,89532,0,0,0,54680,34852,89532,12,0,0.0,89532,84547,4985,0,0,0,12,0,0.0
111,False,False,20-05-1991,193,957,True,0,0,0,0,0,0,0,0,0,14,1,15,11,1,12,20,9,45.0,BJP,GIRISH NARAIN PANDEY,22795.0,INC,INDRESH VIKARAM SINGH,22285.0,8,0,0.0,95382,89383,184765,0,0,0,95382,89383,184765,12,0,0.0,52381,37350,89731,0,0,0,52381,37350,89731,12,0,0.0,89731,85587,4144,0,0,0,12,0,0.0
