Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
348,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,BRIJESHWAR SAHAI,12753.0,PSP,RAGHUBIR SINGH,12475.0,8,0,0.0,91829,0,91829,0,0,0,91829,0,91829,9,2,22.22222222222222,55147,0,55147,0,0,0,55147,0,55147,9,2,22.22222222222222,55147,52530,2617,0,0,10,0,0.0
349,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,MADHO NARAIN,14035.0,IND,VIRENDRA PATI YADAV,13522.0,8,0,0.0,89836,0,89836,0,0,0,89836,0,89836,9,2,22.22222222222222,58607,0,58607,0,0,0,58607,0,58607,9,2,22.22222222222222,58607,55659,2948,0,0,10,0,0.0
350,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,MANSA RAM,19344.0,INC,RAM SWARUP YADAV,18687.0,8,0,0.0,91965,0,91965,0,0,0,91965,0,91965,9,2,22.22222222222222,61301,0,61301,0,0,0,61301,0,61301,9,2,22.22222222222222,61301,58702,2599,0,0,10,0,0.0
351,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SWA,BALBIR SINGH,14272.0,IND,RAM CHANDRA SINGH,10674.0,8,0,0.0,86761,0,86761,0,0,0,86761,0,86761,9,2,22.22222222222222,54647,0,54647,0,0,0,54647,0,54647,9,2,22.22222222222222,54647,51536,3111,0,0,10,0,0.0
352,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,HMS,GANGA PRASAD,18878.0,INC,SAHDEO SINGH,9032.0,8,0,0.0,83221,0,83221,0,0,0,83221,0,83221,9,2,22.22222222222222,47279,0,47279,0,0,0,47279,0,47279,9,2,22.22222222222222,47279,44924,2355,0,0,10,0,0.0
353,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,CHHOTEY  LAL PALIWAL,7889.0,HMS,RAM SINGH,7808.0,8,0,0.0,80552,0,80552,0,0,0,80552,0,80552,9,2,22.22222222222222,40782,0,40782,0,0,0,40782,0,40782,9,2,22.22222222222222,40782,37943,2839,0,0,10,0,0.0
354,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,JS,LOKPAL SINGH,13006.0,INC,ROOP NARAIN,9700.0,8,0,0.0,86502,0,86502,0,0,0,86502,0,86502,9,2,22.22222222222222,47917,0,47917,0,0,0,47917,0,47917,9,2,22.22222222222222,47917,44871,3046,0,0,10,0,0.0
355,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,JS,RAJENDRA SINGH,12668.0,INC,MOHAMMAD ISHAQ KHAN,9975.0,8,0,0.0,84016,0,84016,0,0,0,84016,0,84016,9,2,22.22222222222222,47115,0,47115,0,0,0,47115,0,47115,9,2,22.22222222222222,47115,44367,2748,0,0,10,0,0.0
356,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,JS,BED RAM,14627.0,PSP,SOHARAN SINGH,9739.0,8,0,0.0,90317,0,90317,0,0,0,90317,0,90317,9,2,22.22222222222222,54908,0,54908,0,0,0,54908,0,54908,9,2,22.22222222222222,54908,51067,3841,0,0,10,0,0.0
357,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,JS,GIRWAR PRASAD,13795.0,INC,KALI CHARAN,9163.0,8,0,0.0,79356,0,79356,0,0,0,79356,0,79356,9,2,22.22222222222222,46330,0,46330,0,0,0,46330,0,46330,9,2,22.22222222222222,46330,42518,3812,0,0,10,0,0.0
